model,timeseries,sMAPE,MAPE,ShapeSimilarity,Grubbs,Category
Prophet,Y8654,165.37,90.5,23775.99,0,Micro
Last Value,Y8655,14.14,12.91,4504.58,0,Micro
Mean Value,Y8655,96.99,65.25,21771.43,0,Micro
Random Walk,Y8655,15.23,13.6,4808.3,0,Micro
Arima,Y8655,7.85,7.4,2216.99,0,Micro
Theta,Y8655,167.3,91.1,30273.71,0,Micro
Prophet,Y8655,161.81,89.43,29762.73,0,Micro
Last Value,Y8656,7.71,7.37,3599.0,0,Micro
Mean Value,Y8656,94.16,64.01,30787.48,0,Micro
Random Walk,Y8656,3.97,4.06,1618.47,0,Micro
Arima,Y8656,5.97,6.2,1882.74,0,Micro
Theta,Y8656,162.81,89.75,43127.0,0,Micro
Prophet,Y8656,157.95,88.24,42432.0,0,Micro
Last Value,Y8657,12.5,11.56,4724.3,0,Micro
Mean Value,Y8657,91.53,62.74,24773.49,0,Micro
Random Walk,Y8657,8.57,7.92,2745.63,0,Micro
Arima,Y8657,4.33,4.18,1451.96,0,Micro
Theta,Y8657,160.71,89.11,35067.5,0,Micro
Prophet,Y8657,157.45,88.08,34714.58,0,Micro
Last Value,Y8658,14.89,13.68,4218.2,0,Micro
Mean Value,Y8658,104.38,68.55,20591.39,0,Micro
Random Walk,Y8658,8.48,8.92,1464.45,0,Micro
Arima,Y8658,12.58,11.7,3611.41,0,Micro
Theta,Y8658,176.46,93.75,28094.0,0,Micro
Prophet,Y8658,170.07,91.9,27568.7,0,Micro
Last Value,Y8659,12.6,11.79,7244.0,0,Micro
Mean Value,Y8659,104.12,68.46,41666.0,0,Micro
Random Walk,Y8659,10.52,9.75,4310.8,0,Micro
Arima,Y8659,12.32,13.51,7528.65,0,Micro
Theta,Y8659,167.98,91.29,55514.0,0,Micro
Prophet,Y8659,163.22,89.87,54677.55,0,Micro
Last Value,Y8660,9.14,8.57,2734.0,0,Micro
Mean Value,Y8660,107.19,69.75,21270.83,0,Micro
Random Walk,Y8660,3.71,3.81,864.04,0,Micro
Arima,Y8660,4.62,4.75,798.0,0,Micro
Theta,Y8660,181.79,95.23,28971.0,0,Micro
Prophet,Y8660,174.36,93.14,28361.69,0,Micro
Last Value,Y8661,14.98,13.81,14241.0,0,Micro
Mean Value,Y8661,96.84,65.22,66074.79,0,Micro
Random Walk,Y8661,16.8,15.32,15788.76,0,Micro
Arima,Y8661,23.22,20.56,21157.75,0,Micro
Theta,Y8661,173.14,92.8,93846.0,0,Micro
Prophet,Y8661,167.97,91.29,92389.87,0,Micro
Last Value,Y8662,23.44,20.36,5728.03,0,Micro
Mean Value,Y8662,98.2,65.71,17447.33,0,Micro
Random Walk,Y8662,30.79,24.91,7161.54,0,Micro
Arima,Y8662,24.73,21.39,5998.7,0,Micro
Theta,Y8662,172.85,92.72,24400.6,0,Micro
Prophet,Y8662,168.18,91.33,24088.25,0,Micro
Last Value,Y8663,11.62,10.85,4820.0,0,Micro
Mean Value,Y8663,78.4,56.28,24411.24,0,Micro
Random Walk,Y8663,6.83,6.85,2114.79,0,Micro
Arima,Y8663,11.98,11.17,4957.59,0,Micro
Theta,Y8663,154.46,87.1,37730.0,0,Micro
Prophet,Y8663,142.99,83.36,36097.47,0,Micro
Last Value,Y8664,12.72,11.61,2588.0,0,Micro
Mean Value,Y8664,92.33,63.09,13248.97,0,Micro
Random Walk,Y8664,19.02,16.51,3690.4,0,Micro
Arima,Y8664,4.08,4.04,837.3,0,Micro
Theta,Y8664,168.16,91.35,19085.0,0,Micro
Prophet,Y8664,164.25,90.16,18868.33,0,Micro
Last Value,Y8665,24.46,21.16,6310.4,0,Micro
Mean Value,Y8665,99.51,66.29,18676.52,0,Micro
Random Walk,Y8665,23.53,19.91,6078.06,0,Micro
Arima,Y8665,9.28,8.67,2106.81,0,Micro
Theta,Y8665,168.43,91.43,25522.7,0,Micro
Prophet,Y8665,164.48,90.22,25254.2,0,Micro
Last Value,Y8666,26.49,22.81,10286.1,0,Micro
Mean Value,Y8666,105.05,68.75,29485.73,0,Micro
Random Walk,Y8666,19.19,17.27,6057.19,0,Micro
Arima,Y8666,17.75,15.76,7196.8,0,Micro
Theta,Y8666,180.64,94.91,40389.9,0,Micro
Prophet,Y8666,174.8,93.26,39763.56,0,Micro
Last Value,Y8667,19.66,17.76,10463.0,0,Micro
Mean Value,Y8667,99.04,66.21,38390.1,0,Micro
Random Walk,Y8667,24.91,21.82,12883.35,0,Micro
Arima,Y8667,8.32,7.79,4722.66,0,Micro
Theta,Y8667,176.78,93.84,54296.0,0,Micro
Prophet,Y8667,170.82,92.12,53348.38,0,Micro
Last Value,Y8668,29.13,24.76,11811.0,0,Micro
Mean Value,Y8668,114.56,72.72,32906.59,0,Micro
Random Walk,Y8668,37.32,29.96,14441.79,0,Micro
Arima,Y8668,10.55,9.87,3922.93,0,Micro
Theta,Y8668,175.8,93.56,42018.0,0,Micro
Prophet,Y8668,173.06,92.76,41749.49,0,Micro
Last Value,Y8669,21.33,19.11,11040.0,0,Micro
Mean Value,Y8669,67.08,50.16,28566.21,0,Micro
Random Walk,Y8669,24.75,21.59,12560.45,0,Micro
Arima,Y8669,13.87,12.93,6693.28,0,Micro
Theta,Y8669,107.73,70.01,39720.0,0,Micro
Prophet,Y8669,106.06,69.26,39362.48,0,Micro
Last Value,Y8670,39.49,31.7,19480.0,0,Micro
Mean Value,Y8670,119.69,74.64,42488.97,0,Micro
Random Walk,Y8670,38.69,31.12,17567.97,0,Micro
Arima,Y8670,23.68,20.49,11460.99,0,Micro
Theta,Y8670,173.66,92.95,52150.0,0,Micro
Prophet,Y8670,171.58,92.31,52006.5,0,Micro
Last Value,Y8671,53.59,41.34,15453.0,0,Micro
Mean Value,Y8671,138.01,81.54,29090.38,0,Micro
Random Walk,Y8671,55.14,42.26,15785.12,0,Micro
Arima,Y8671,28.71,24.84,7340.07,0,Micro
Theta,Y8671,188.83,97.12,34404.0,0,Micro
Prophet,Y8671,181.36,95.09,33711.51,0,Micro
Last Value,Y8672,15.93,14.09,8060.0,0,Micro
Mean Value,Y8672,60.56,46.09,24182.07,0,Micro
Random Walk,Y8672,10.61,9.53,5605.44,0,Micro
Arima,Y8672,14.74,13.12,7529.03,0,Micro
Theta,Y8672,140.74,82.6,42300.0,0,Micro
Prophet,Y8672,145.15,84.02,43244.95,0,Micro
Last Value,Y8673,26.15,22.6,30570.0,0,Micro
Mean Value,Y8673,112.23,71.79,92916.21,0,Micro
Random Walk,Y8673,24.72,21.19,28146.26,0,Micro
Arima,Y8673,11.27,10.51,11239.61,0,Micro
Theta,Y8673,181.51,95.15,122430.0,0,Micro
Prophet,Y8673,176.23,93.67,120713.26,0,Micro
Last Value,Y8674,21.6,19.27,10040.0,0,Micro
Mean Value,Y8674,68.45,50.9,26000.0,0,Micro
Random Walk,Y8674,21.66,18.99,9814.98,0,Micro
Arima,Y8674,25.35,22.29,11559.25,0,Micro
Theta,Y8674,116.55,73.39,37370.0,0,Micro
Prophet,Y8674,109.3,70.63,35960.73,0,Micro
Last Value,Y8675,27.18,23.51,7240.0,0,Micro
Mean Value,Y8675,108.38,70.2,20938.62,0,Micro
Random Walk,Y8675,20.61,18.23,5151.22,0,Micro
Arima,Y8675,27.3,23.6,7268.73,0,Micro
Theta,Y8675,176.4,93.72,27790.0,0,Micro
Prophet,Y8675,175.77,93.54,27797.12,0,Micro
Last Value,Y8676,13.68,12.4,6848.4,0,Micro
Mean Value,Y8676,26.47,23.04,12277.04,0,Micro
Random Walk,Y8676,7.92,7.45,3272.64,0,Micro
Arima,Y8676,20.7,18.27,9906.63,0,Micro
Theta,Y8676,43.82,35.88,18669.9,0,Micro
Prophet,Y8676,9.52,10.13,3420.03,0,Micro
Last Value,Y8677,22.48,19.74,5447.0,0,Micro
Mean Value,Y8677,105.43,68.94,18191.83,0,Micro
Random Walk,Y8677,11.71,10.86,1542.23,0,Micro
Arima,Y8677,3.69,3.61,965.5,0,Micro
Theta,Y8677,154.78,87.25,22889.0,0,Micro
Prophet,Y8677,151.41,86.14,22656.58,0,Micro
Last Value,Y8678,28.32,24.05,4420.0,0,Micro
Mean Value,Y8678,119.41,74.65,12894.48,0,Micro
Random Walk,Y8678,24.63,21.42,3660.39,0,Micro
Arima,Y8678,6.28,6.04,832.49,0,Micro
Theta,Y8678,175.8,93.55,16060.0,0,Micro
Prophet,Y8678,164.19,90.14,15496.66,0,Micro
Last Value,Y8679,3.29,3.3,210.84,0,Micro
Mean Value,Y8679,3.38,3.37,216.61,0,Micro
Random Walk,Y8679,7.53,7.73,411.78,0,Micro
Arima,Y8679,11.27,12.03,762.99,0,Micro
Theta,Y8679,17.07,19.14,1198.37,0,Micro
Prophet,Y8679,9.91,9.42,610.37,0,Micro
Last Value,Y8680,2.54,2.54,1513.6,0,Micro
Mean Value,Y8680,16.49,15.19,9148.28,0,Micro
Random Walk,Y8680,2.98,3.02,1655.74,0,Micro
Arima,Y8680,2.53,2.54,1510.99,0,Micro
Theta,Y8680,17.48,17.83,10709.3,0,Micro
Prophet,Y8680,5.43,5.57,3305.48,0,Micro
Last Value,Y8681,11.77,11.09,6687.6,0,Micro
Mean Value,Y8681,9.69,9.21,5560.4,0,Micro
Random Walk,Y8681,17.97,16.29,9852.21,0,Micro
Arima,Y8681,12.23,11.5,6932.51,0,Micro
Theta,Y8681,19.6,21.86,13138.8,0,Micro
Prophet,Y8681,17.97,16.43,9902.32,0,Micro
Last Value,Y8682,23.41,20.58,3783.0,0,Micro
Mean Value,Y8682,109.35,70.62,12539.07,0,Micro
Random Walk,Y8682,11.53,10.74,1327.34,0,Micro
Arima,Y8682,2.87,2.87,521.62,0,Micro
Theta,Y8682,165.19,90.47,15996.0,0,Micro
Prophet,Y8682,158.06,88.26,15631.7,0,Micro
Last Value,Y8683,13.09,12.03,6709.1,0,Micro
Mean Value,Y8683,37.39,31.33,16932.94,0,Micro
Random Walk,Y8683,7.58,7.18,3247.66,0,Micro
Arima,Y8683,14.7,13.4,7458.52,0,Micro
Theta,Y8683,51.12,40.71,21719.3,0,Micro
Prophet,Y8683,1.73,1.72,944.16,0,Micro
Last Value,Y8684,17.83,15.91,8484.9,0,Micro
Mean Value,Y8684,50.62,40.13,20460.82,0,Micro
Random Walk,Y8684,13.63,12.46,5602.39,0,Micro
Arima,Y8684,5.43,5.14,2570.95,0,Micro
Theta,Y8684,67.86,50.64,25330.2,0,Micro
Prophet,Y8684,6.97,6.62,2747.44,0,Micro
Last Value,Y8685,11.02,10.33,5860.2,0,Micro
Mean Value,Y8685,38.53,32.23,17966.28,0,Micro
Random Walk,Y8685,6.27,6.05,2569.16,0,Micro
Arima,Y8685,8.12,7.73,4095.6,0,Micro
Theta,Y8685,56.91,44.29,24491.1,0,Micro
Prophet,Y8685,1.27,1.28,724.82,0,Micro
Last Value,Y8686,7.12,7.35,4683.4,0,Micro
Mean Value,Y8686,21.94,19.57,13120.48,0,Micro
Random Walk,Y8686,8.08,8.46,4745.44,0,Micro
Arima,Y8686,13.06,14.67,8964.51,0,Micro
Theta,Y8686,22.81,21.26,13350.0,0,Micro
Prophet,Y8686,12.31,13.57,8424.41,0,Micro
Last Value,Y8687,7.67,7.35,4430.9,0,Micro
Mean Value,Y8687,30.28,26.2,15582.78,0,Micro
Random Walk,Y8687,11.83,11.1,6193.59,0,Micro
Arima,Y8687,9.04,8.58,5182.94,0,Micro
Theta,Y8687,53.95,42.46,25064.6,0,Micro
Prophet,Y8687,6.72,7.04,3332.61,0,Micro
Last Value,Y8688,15.96,14.46,2110.0,0,Micro
Mean Value,Y8688,63.41,48.0,6744.48,0,Micro
Random Walk,Y8688,4.65,4.49,642.9,0,Micro
Arima,Y8688,10.72,9.87,1470.09,0,Micro
Theta,Y8688,153.87,86.95,12100.0,0,Micro
Prophet,Y8688,164.15,90.12,12577.1,0,Micro
Last Value,Y8689,21.17,18.81,17635.0,0,Micro
Mean Value,Y8689,107.52,69.86,63282.38,0,Micro
Random Walk,Y8689,9.62,9.12,3926.71,0,Micro
Arima,Y8689,1.72,1.69,1596.99,0,Micro
Theta,Y8689,173.82,93.0,83935.0,0,Micro
Prophet,Y8689,165.54,90.56,81824.31,0,Micro
Last Value,Y8690,13.36,12.39,2845.0,0,Micro
Mean Value,Y8690,96.17,64.91,14604.17,0,Micro
Random Walk,Y8690,17.36,15.62,3602.45,0,Micro
Arima,Y8690,3.95,4.02,705.71,0,Micro
Theta,Y8690,162.85,89.76,20161.0,0,Micro
Prophet,Y8690,154.29,87.08,19572.49,0,Micro
Last Value,Y8691,25.22,21.95,5445.0,0,Micro
Mean Value,Y8691,110.8,71.22,16980.72,0,Micro
Random Walk,Y8691,35.77,29.68,7282.45,0,Micro
Arima,Y8691,7.93,7.57,1274.42,0,Micro
Theta,Y8691,179.31,94.54,22440.0,0,Micro
Prophet,Y8691,166.57,90.86,21592.87,0,Micro
Last Value,Y8692,23.6,20.72,29500.0,0,Micro
Mean Value,Y8692,111.28,71.43,98189.66,0,Micro
Random Walk,Y8692,30.36,25.08,35759.69,0,Micro
Arima,Y8692,8.93,8.47,8358.23,0,Micro
Theta,Y8692,179.83,94.69,129700.0,0,Micro
Prophet,Y8692,168.94,91.57,125532.26,0,Micro
Last Value,Y8693,25.38,21.98,18197.0,0,Micro
Mean Value,Y8693,112.26,71.8,56687.62,0,Micro
Random Walk,Y8693,12.9,11.9,8624.22,0,Micro
Arima,Y8693,9.12,8.56,6438.42,0,Micro
Theta,Y8693,174.8,93.28,73202.0,0,Micro
Prophet,Y8693,168.46,91.42,71884.08,0,Micro
Last Value,Y8694,16.48,14.66,5130.0,0,Micro
Mean Value,Y8694,93.3,63.49,20508.62,0,Micro
Random Walk,Y8694,20.59,18.17,6162.23,0,Micro
Arima,Y8694,19.57,17.31,5954.64,0,Micro
Theta,Y8694,123.32,75.83,24420.0,0,Micro
Prophet,Y8694,135.04,80.57,25886.69,0,Micro
Last Value,Y8695,28.0,24.11,20800.0,0,Micro
Mean Value,Y8695,104.14,68.37,57089.66,0,Micro
Random Walk,Y8695,30.7,25.95,22383.76,0,Micro
Arima,Y8695,28.19,24.26,20919.5,0,Micro
Theta,Y8695,173.61,92.91,77050.0,0,Micro
Prophet,Y8695,174.18,93.08,77386.37,0,Micro
Last Value,Y8696,18.63,16.4,3226.6,0,Micro
Mean Value,Y8696,106.89,69.54,12655.5,0,Micro
Random Walk,Y8696,24.74,21.05,4082.33,0,Micro
Arima,Y8696,6.87,6.52,1182.92,0,Micro
Theta,Y8696,176.12,93.65,16918.6,0,Micro
Prophet,Y8696,169.94,91.85,16625.88,0,Micro
Last Value,Y8697,24.53,21.24,8471.4,0,Micro
Mean Value,Y8697,106.67,69.44,26181.48,0,Micro
Random Walk,Y8697,23.46,20.63,7180.13,0,Micro
Arima,Y8697,9.58,8.95,2928.43,0,Micro
Theta,Y8697,169.4,91.72,34328.1,0,Micro
Prophet,Y8697,163.03,89.79,33679.17,0,Micro
Last Value,Y8698,29.49,24.96,25763.0,0,Micro
Mean Value,Y8698,111.63,71.5,69481.9,0,Micro
Random Walk,Y8698,30.11,25.49,26121.95,0,Micro
Arima,Y8698,12.37,11.38,9025.29,0,Micro
Theta,Y8698,175.14,93.37,89939.0,0,Micro
Prophet,Y8698,167.86,91.23,88087.63,0,Micro
Last Value,Y8699,26.39,21.98,4588.0,0,Micro
Mean Value,Y8699,126.26,77.24,14031.59,0,Micro
Random Walk,Y8699,20.77,17.85,3386.13,0,Micro
Arima,Y8699,24.76,20.65,4362.32,0,Micro
Theta,Y8699,188.14,96.94,17389.0,0,Micro
Prophet,Y8699,179.77,94.66,17019.53,0,Micro
Last Value,Y8700,26.43,21.87,4680.0,0,Micro
Mean Value,Y8700,125.45,76.92,14119.45,0,Micro
Random Walk,Y8700,13.47,12.11,2365.3,0,Micro
Arima,Y8700,9.06,7.72,1938.42,0,Micro
Theta,Y8700,188.54,97.05,17559.0,0,Micro
Prophet,Y8700,180.28,94.8,17199.4,0,Micro
Last Value,Y8701,22.51,19.77,3406.4,0,Micro
Mean Value,Y8701,102.58,67.7,11167.23,0,Micro
Random Walk,Y8701,21.12,18.7,2654.51,0,Micro
Arima,Y8701,5.1,4.92,620.82,0,Micro
Theta,Y8701,163.15,89.85,14735.6,0,Micro
Prophet,Y8701,156.53,87.78,14425.87,0,Micro
Last Value,Y8702,26.91,23.03,11674.9,0,Micro
Mean Value,Y8702,51.04,40.21,19627.3,0,Micro
Random Walk,Y8702,31.19,26.07,13190.11,0,Micro
Arima,Y8702,16.06,14.51,6150.74,0,Micro
Theta,Y8702,57.03,44.35,20978.8,0,Micro
Prophet,Y8702,23.25,20.45,9946.39,0,Micro
Last Value,Y8703,6.4,6.41,417.67,0,Micro
Mean Value,Y8703,8.91,8.38,576.45,0,Micro
Random Walk,Y8703,5.48,5.67,350.28,0,Micro
Arima,Y8703,5.12,5.37,333.33,0,Micro
Theta,Y8703,29.53,25.59,1710.26,0,Micro
Prophet,Y8703,5.3,5.57,346.13,0,Micro
Last Value,Y8704,49.38,38.39,16586.6,0,Micro
Mean Value,Y8704,19.46,20.89,7974.31,0,Micro
Random Walk,Y8704,13.93,12.44,5635.09,0,Micro
Arima,Y8704,47.85,37.38,16200.53,0,Micro
Theta,Y8704,11.42,11.06,4265.0,0,Micro
Prophet,Y8704,28.94,24.97,10981.31,0,Micro
Last Value,Y8705,8.17,7.69,4574.2,0,Micro
Mean Value,Y8705,33.67,28.65,16377.76,0,Micro
Random Walk,Y8705,11.89,10.87,6463.86,0,Micro
Arima,Y8705,6.06,6.17,2921.31,0,Micro
Theta,Y8705,18.47,16.04,7992.9,0,Micro
Prophet,Y8705,5.84,5.54,3287.47,0,Micro
Last Value,Y8706,17.76,16.21,9434.3,0,Micro
Mean Value,Y8706,37.84,31.75,18335.7,0,Micro
Random Walk,Y8706,28.95,24.88,14521.29,0,Micro
Arima,Y8706,20.68,18.64,10829.25,0,Micro
Theta,Y8706,31.96,27.54,15814.4,0,Micro
Prophet,Y8706,11.92,11.24,5523.14,0,Micro
Last Value,Y8707,14.13,12.81,6325.0,0,Micro
Mean Value,Y8707,93.55,63.65,29606.24,0,Micro
Random Walk,Y8707,6.42,5.99,3064.34,0,Micro
Arima,Y8707,6.46,6.06,2833.29,0,Micro
Theta,Y8707,168.1,91.33,42238.0,0,Micro
Prophet,Y8707,162.98,89.78,41602.39,0,Micro
Last Value,Y8708,6.77,6.48,856.0,0,Micro
Mean Value,Y8708,86.16,60.2,7783.93,0,Micro
Random Walk,Y8708,51.6,38.54,5036.39,0,Micro
Arima,Y8708,17.43,15.88,2076.46,0,Micro
Theta,Y8708,172.92,92.73,11977.0,0,Micro
Prophet,Y8708,161.01,89.19,11524.35,0,Micro
Last Value,Y8709,25.9,22.67,2620.0,0,Micro
Mean Value,Y8709,68.89,51.11,5797.93,0,Micro
Random Walk,Y8709,30.88,26.33,3042.22,0,Micro
Arima,Y8709,18.12,16.51,1817.77,0,Micro
Theta,Y8709,92.69,63.29,7150.0,0,Micro
Prophet,Y8709,92.15,62.99,7127.51,0,Micro
Last Value,Y8710,28.74,24.72,9855.0,0,Micro
Mean Value,Y8710,115.69,73.22,28244.38,0,Micro
Random Walk,Y8710,25.15,21.04,8626.15,0,Micro
Arima,Y8710,6.07,5.87,1148.22,0,Micro
Theta,Y8710,178.86,94.42,36261.0,0,Micro
Prophet,Y8710,172.18,92.51,35575.73,0,Micro
Last Value,Y8711,13.19,12.15,1654.5,0,Micro
Mean Value,Y8711,85.64,59.9,7874.37,0,Micro
Random Walk,Y8711,3.69,3.61,476.75,0,Micro
Arima,Y8711,18.93,16.95,2297.21,0,Micro
Theta,Y8711,155.91,87.61,11473.2,0,Micro
Prophet,Y8711,148.17,85.09,11160.62,0,Micro
Last Value,Y8712,22.18,19.56,29210.0,0,Micro
Mean Value,Y8712,111.36,71.46,102471.66,0,Micro
Random Walk,Y8712,17.87,16.12,22988.94,0,Micro
Arima,Y8712,17.39,15.72,22512.83,0,Micro
Theta,Y8712,177.61,94.07,134306.0,0,Micro
Prophet,Y8712,169.87,91.84,131307.12,0,Micro
Last Value,Y8713,17.64,15.85,2703.61,0,Micro
Mean Value,Y8713,93.41,63.58,10383.61,0,Micro
Random Walk,Y8713,13.83,12.78,1790.2,0,Micro
Arima,Y8713,10.48,9.77,1460.54,0,Micro
Theta,Y8713,163.41,89.93,14609.47,0,Micro
Prophet,Y8713,157.23,88.0,14322.21,0,Micro
Last Value,Y8714,23.3,20.5,4132.71,0,Micro
Mean Value,Y8714,108.5,70.27,13669.68,0,Micro
Random Walk,Y8714,16.36,14.88,2183.75,0,Micro
Arima,Y8714,11.51,10.77,1587.21,0,Micro
Theta,Y8714,176.18,93.67,18141.12,0,Micro
Prophet,Y8714,168.41,91.41,17730.44,0,Micro
Last Value,Y8715,8.61,9.06,1240.0,0,Micro
Mean Value,Y8715,59.61,45.77,6653.79,0,Micro
Random Walk,Y8715,16.1,15.62,2145.75,0,Micro
Arima,Y8715,10.18,11.11,1439.99,0,Micro
Theta,Y8715,142.51,83.2,12000.0,0,Micro
Prophet,Y8715,129.72,78.63,11354.56,0,Micro
Last Value,Y8716,17.64,15.83,10230.0,0,Micro
Mean Value,Y8716,92.1,62.96,38887.24,0,Micro
Random Walk,Y8716,21.49,18.7,12159.68,0,Micro
Arima,Y8716,4.18,4.07,1904.77,0,Micro
Theta,Y8716,162.67,89.71,55080.0,0,Micro
Prophet,Y8716,158.2,88.3,54332.48,0,Micro
Last Value,Y8717,28.4,24.28,15709.0,0,Micro
Mean Value,Y8717,138.37,81.73,50213.34,0,Micro
Random Walk,Y8717,53.25,38.29,25457.73,0,Micro
Arima,Y8717,11.49,12.32,3695.26,0,Micro
Theta,Y8717,186.31,96.46,59017.0,0,Micro
Prophet,Y8717,181.4,95.12,58274.68,0,Micro
Last Value,Y8718,21.33,18.66,15310.0,0,Micro
Mean Value,Y8718,108.71,70.31,54250.0,0,Micro
Random Walk,Y8718,17.06,15.1,8734.06,0,Micro
Arima,Y8718,5.31,5.22,3828.03,0,Micro
Theta,Y8718,166.29,90.79,69580.0,0,Micro
Prophet,Y8718,162.38,89.59,68816.98,0,Micro
Last Value,Y8719,9.12,8.58,2459.2,0,Micro
Mean Value,Y8719,87.39,60.78,16855.54,0,Micro
Random Walk,Y8719,18.24,15.98,4606.6,0,Micro
Arima,Y8719,6.51,6.2,1658.4,0,Micro
Theta,Y8719,156.74,87.87,24302.2,0,Micro
Prophet,Y8719,153.1,86.7,24012.67,0,Micro
Last Value,Y8720,25.33,21.99,9200.0,0,Micro
Mean Value,Y8720,81.55,57.75,23227.59,0,Micro
Random Walk,Y8720,23.33,20.47,7659.31,0,Micro
Arima,Y8720,17.69,15.97,5907.87,0,Micro
Theta,Y8720,124.14,76.59,30500.0,0,Micro
Prophet,Y8720,120.91,75.27,30117.25,0,Micro
Last Value,Y8721,25.13,21.82,18645.0,0,Micro
Mean Value,Y8721,111.63,71.55,58490.79,0,Micro
Random Walk,Y8721,12.82,11.59,9832.72,0,Micro
Arima,Y8721,7.5,7.14,4663.73,0,Micro
Theta,Y8721,174.06,93.06,75645.0,0,Micro
Prophet,Y8721,168.5,91.43,74461.66,0,Micro
Last Value,Y8722,24.31,21.04,4369.0,0,Micro
Mean Value,Y8722,106.17,69.22,13591.0,0,Micro
Random Walk,Y8722,19.31,16.74,3548.49,0,Micro
Arima,Y8722,7.91,7.54,1309.03,0,Micro
Theta,Y8722,167.35,91.11,17755.0,0,Micro
Prophet,Y8722,161.38,89.28,17441.75,0,Micro
Last Value,Y8723,10.51,10.02,1720.0,0,Micro
Mean Value,Y8723,99.97,66.56,11146.21,0,Micro
Random Walk,Y8723,4.59,4.73,545.84,0,Micro
Arima,Y8723,12.18,13.01,1279.47,0,Micro
Theta,Y8723,156.8,87.88,14620.0,0,Micro
Prophet,Y8723,156.11,87.65,14630.24,0,Micro
Last Value,Y8724,10.75,10.11,1020.0,0,Micro
Mean Value,Y8724,58.38,45.15,4481.38,0,Micro
Random Walk,Y8724,4.62,4.69,356.26,0,Micro
Arima,Y8724,11.11,10.43,1051.49,0,Micro
Theta,Y8724,150.29,85.52,8490.0,0,Micro
Prophet,Y8724,109.88,70.89,7026.5,0,Micro
Last Value,Y8725,17.35,15.6,17770.0,0,Micro
Mean Value,Y8725,96.99,65.19,70522.41,0,Micro
Random Walk,Y8725,20.85,18.43,20929.51,0,Micro
Arima,Y8725,5.18,5.29,5061.94,0,Micro
Theta,Y8725,153.25,86.76,93250.0,0,Micro
Prophet,Y8725,146.89,84.65,91185.28,0,Micro
Last Value,Y8726,31.8,26.45,25500.0,0,Micro
Mean Value,Y8726,119.79,74.76,66879.31,0,Micro
Random Walk,Y8726,25.1,21.35,20491.48,0,Micro
Arima,Y8726,8.46,7.89,6737.05,0,Micro
Theta,Y8726,172.09,92.44,82200.0,0,Micro
Prophet,Y8726,157.97,88.21,78442.99,0,Micro
Last Value,Y8727,18.54,16.56,7230.0,0,Micro
Mean Value,Y8727,89.64,61.79,25798.97,0,Micro
Random Walk,Y8727,7.38,7.02,2875.61,0,Micro
Arima,Y8727,10.74,10.03,4395.16,0,Micro
Theta,Y8727,175.67,93.52,38790.0,0,Micro
Prophet,Y8727,171.8,92.39,38394.59,0,Micro
Last Value,Y8728,20.09,18.19,3570.0,0,Micro
Mean Value,Y8728,95.12,64.45,12559.66,0,Micro
Random Walk,Y8728,14.26,13.19,2363.26,0,Micro
Arima,Y8728,24.21,21.54,4213.83,0,Micro
Theta,Y8728,182.93,95.54,18600.0,0,Micro
Prophet,Y8728,178.05,94.19,18344.14,0,Micro
Last Value,Y8729,9.55,9.0,3280.0,0,Micro
Mean Value,Y8729,82.35,58.28,20640.69,0,Micro
Random Walk,Y8729,11.99,11.06,4038.66,0,Micro
Arima,Y8729,4.54,4.67,1462.92,0,Micro
Theta,Y8729,150.3,85.81,30310.0,0,Micro
Prophet,Y8729,141.89,82.98,29341.84,0,Micro
Last Value,Y8730,12.61,11.71,1770.0,0,Micro
Mean Value,Y8730,87.74,60.86,8818.28,0,Micro
Random Walk,Y8730,24.59,20.95,3198.68,0,Micro
Arima,Y8730,10.6,9.99,1505.63,0,Micro
Theta,Y8730,157.35,88.06,12680.0,0,Micro
Prophet,Y8730,152.03,86.34,12453.68,0,Micro
Last Value,Y8731,21.31,18.84,11560.0,0,Micro
Mean Value,Y8731,116.81,73.68,43343.45,0,Micro
Random Walk,Y8731,7.8,7.29,2949.41,0,Micro
Arima,Y8731,37.46,30.88,18731.15,0,Micro
Theta,Y8731,171.32,92.27,54040.0,0,Micro
Prophet,Y8731,169.03,91.59,53748.22,0,Micro
Last Value,Y8732,7.24,6.97,2839.0,0,Micro
Mean Value,Y8732,104.62,68.69,27851.97,0,Micro
Random Walk,Y8732,12.76,11.78,4798.12,0,Micro
Arima,Y8732,7.8,8.26,2917.85,0,Micro
Theta,Y8732,176.36,93.71,37987.0,0,Micro
Prophet,Y8732,171.04,92.19,37380.99,0,Micro
Last Value,Y8733,20.59,18.35,3489.7,0,Micro
Mean Value,Y8733,88.64,61.32,11290.76,0,Micro
Random Walk,Y8733,23.72,20.38,3925.37,0,Micro
Arima,Y8733,7.95,7.57,1059.5,0,Micro
Theta,Y8733,156.98,87.95,16105.9,0,Micro
Prophet,Y8733,151.74,86.25,15825.09,0,Micro
Last Value,Y8734,9.28,8.72,3420.0,0,Micro
Mean Value,Y8734,86.53,60.36,22903.45,0,Micro
Random Walk,Y8734,6.24,6.46,2285.72,0,Micro
Arima,Y8734,4.71,4.84,907.66,0,Micro
Theta,Y8734,155.05,87.34,33060.0,0,Micro
Prophet,Y8734,150.67,85.91,32557.39,0,Micro
Last Value,Y8735,25.1,21.76,14630.0,0,Micro
