model,timeseries,sMAPE,MAPE,ShapeSimilarity,Grubbs,Category
Random Walk,Y32,7.67,7.99,2426.51,0,Macro
Arima,Y32,24.17,27.81,8442.47,0,Macro
Theta,Y32,12.62,11.86,3604.41,0,Macro
Prophet,Y32,8.23,8.63,2619.09,0,Macro
Last Value,Y33,5.88,6.06,431.63,0,Macro
Mean Value,Y33,8.23,7.9,562.89,0,Macro
Random Walk,Y33,2.06,2.09,134.74,0,Macro
Arima,Y33,16.53,18.13,1290,0,Macro
Theta,Y33,21.48,19.38,1379.94,0,Macro
Prophet,Y33,8.88,9.33,663.68,0,Macro
Last Value,Y34,3.47,3.54,344.37,0,Macro
Mean Value,Y34,8.87,8.49,828.44,0,Macro
Random Walk,Y34,2.44,2.48,240.73,0,Macro
Arima,Y34,15.28,16.6,1620.43,0,Macro
Theta,Y34,12.11,11.42,1113.64,0,Macro
Prophet,Y34,4.45,4.56,444.93,0,Macro
Last Value,Y35,4.94,5.07,975.13,0,Macro
Mean Value,Y35,14.78,13.76,2648.94,0,Macro
Random Walk,Y35,8.36,8.75,1684.7,0,Macro
Arima,Y35,23.89,27.51,5299.24,0,Macro
Theta,Y35,22.19,19.92,3832.25,0,Macro
Prophet,Y35,6.8,7.08,1363.88,0,Macro
Last Value,Y36,5.93,6.12,400.89,0,Macro
Mean Value,Y36,4.81,4.7,308.07,0,Macro
Random Walk,Y36,6.25,6.45,422.85,0,Macro
Arima,Y36,23.24,26.59,1742.14,0,Macro
Theta,Y36,6.49,6.28,411.91,0,Macro
Prophet,Y36,6.72,6.98,457.07,0,Macro
Last Value,Y37,4.75,4.87,1104.14,0,Macro
Mean Value,Y37,14.62,13.62,3092.37,0,Macro
Random Walk,Y37,4.72,4.85,1102.93,0,Macro
Arima,Y37,27.1,31.76,7223.75,0,Macro
Theta,Y37,18.45,16.87,3825.18,0,Macro
Prophet,Y37,7.81,8.18,1861.58,0,Macro
Last Value,Y38,113.15,71.83,26323,0,Macro
Mean Value,Y38,21.94,24.35,7561,0,Macro
Random Walk,Y38,83.51,58.58,21332.92,0,Macro
Arima,Y38,200,141.53,50503.82,0,Macro
Theta,Y38,31.39,25.89,10321,0,Macro
Prophet,Y38,31.9,26.16,10665.86,0,Macro
Last Value,Y39,26.81,22.38,7540,0,Macro
Mean Value,Y39,114.82,72.71,21955.36,0,Macro
Random Walk,Y39,23.48,19.95,5670.88,0,Macro
Arima,Y39,23.64,20.1,6789.25,0,Macro
Theta,Y39,183.04,95.48,28595,0,Macro
Prophet,Y39,176.54,93.73,28009.35,0,Macro
Last Value,Y40,10.31,9.69,3104,0,Macro
Mean Value,Y40,120.03,75,23466.4,0,Macro
Random Walk,Y40,8.75,9.25,2242.12,0,Macro
Arima,Y40,20.45,18.22,5819.95,0,Macro
Theta,Y40,196.33,99.07,30978.2,0,Macro
Prophet,Y40,160.56,88.68,27728.37,0,Macro
Last Value,Y41,7.57,7.24,6940.2,0,Macro
Mean Value,Y41,92.44,63.21,59683.51,0,Macro
Random Walk,Y41,7.42,7.36,6912.68,0,Macro
Arima,Y41,13.89,12.85,12293.78,0,Macro
Theta,Y41,181.69,95.19,89858.7,0,Macro
Prophet,Y41,130.49,78.68,74269.04,0,Macro
Last Value,Y42,4.84,4.72,1665.5,0,Macro
Mean Value,Y42,107.05,69.72,24472.69,0,Macro
Random Walk,Y42,15.9,14.39,5090.8,0,Macro
Arima,Y42,15.31,16.95,5501.72,0,Macro
Theta,Y42,187.2,96.69,33932.3,0,Macro
Prophet,Y42,88.09,59.92,21008.75,0,Macro
Last Value,Y43,3.73,3.65,647,0,Macro
Mean Value,Y43,98.93,66.19,11648.65,0,Macro
Random Walk,Y43,3.9,3.98,640.95,0,Macro
Arima,Y43,9.98,10.66,1598.3,0,Macro
Theta,Y43,190.81,97.64,17183,0,Macro
Prophet,Y43,178.22,94.23,16584.1,0,Macro
Last Value,Y44,7.85,7.51,4934.7,0,Macro
Mean Value,Y44,81.57,57.93,37640.46,0,Macro
Random Walk,Y44,8.27,8.62,5543.78,0,Macro
Arima,Y44,1.79,1.77,636.23,0,Macro
Theta,Y44,162.1,89.53,58138.5,0,Macro
Prophet,Y44,155.48,87.47,56811.82,0,Macro
Last Value,Y45,6.86,6.6,4287.2,0,Macro
Mean Value,Y45,74.43,54.24,34887.45,0,Macro
Random Walk,Y45,21.47,18.57,12135.32,0,Macro
Arima,Y45,1.64,1.63,531.94,0,Macro
Theta,Y45,156.66,87.85,56474.3,0,Macro
Prophet,Y45,150.17,85.76,55144,0,Macro
